method;group;time;iterations;error;delay;constrained
nelder-mead;1;86.21;839;0.168578716;0.1;1
nelder-mead;2;79.72;775;0.168578716;0.1;1
nelder-mead;3;81.66;793;0.168578716;0.1;1
nelder-mead;4;101.61;985;0.211228011;0.1;1
nelder-mead;5;128.52;1236;0.664546723;0.1;1
nelder-mead;6;127.03;1233;1.979507815;0.1;1
nelder-mead;7;231.11;2242;77.27794695;0.1;1
nelder-mead;8;201.02;1948;81.39995534;0.1;1
nelder-mead;9;288.74;2796;83.05701057;0.1;1
bo;1;119.78;40;0.123734615;0.1;1
bo;2;123.29;40;0.128417594;0.1;1
bo;3;176.05;40;0.153753176;0.1;1
bo;4;355.28;40;0.219180986;0.1;1
bo;5;591.22;40;0.76893385;0.1;1
bo;6;485.97;40;2.267564364;0.1;1
bo;7;373.8;40;76.79390925;0.1;1
bo;8;507.19;40;80.86749851;0.1;1
bo;9;357.18;40;83.05359543;0.1;1
annealing;1;2343.8;22637;0.113724351;0.1;1
annealing;2;2376.9;22925;0.113728045;0.1;1
annealing;3;2323.23;22361;0.113749341;0.1;1
annealing;4;2586.64;24893;0.156292531;0.1;1
annealing;5;3512.64;33701;0.608446823;0.1;1
annealing;6;3763.44;36113;1.923715839;0.1;1
annealing;7;3085.71;29561;77.12492329;0.1;1
annealing;8;5591.71;53501;81.23255501;0.1;1
annealing;9;3917.08;37421;82.86100767;0.1;1
pso;1;1757.15;16980;0.112682398;0.1;1
pso;2;964.73;9298;0.112682415;0.1;1
pso;3;1039.33;10016;0.112682446;0.1;1
pso;4;1121.64;10784;0.155296896;0.1;1
pso;5;1642.14;15786;0.615813792;0.1;1
pso;6;1735.28;16691;1.930561655;0.1;1
pso;7;21155.12;202950;77.16836021;0.1;1
pso;8;21197.11;202950;81.39038381;0.1;1
pso;9;3465.25;33201;83.04490907;0.1;1
nelder-mead;1;86.94;839;0.168578716;0.1;0
nelder-mead;2;80.58;775;0.168578716;0.1;0
nelder-mead;3;73.84;708;0.199184877;0.1;0
nelder-mead;4;89.06;853;0.241840824;0.1;0
nelder-mead;5;163.21;1566;0.694066943;0.1;0
nelder-mead;6;135.69;1298;2.009299891;0.1;0
nelder-mead;7;74.8;716;76.12498789;0.1;0
nelder-mead;8;141.97;1356;80.00573138;0.1;0
nelder-mead;9;139.86;1336;81.25969175;0.1;0
annealing;1;2349.66;22661;0.112854794;0.1;0
annealing;2;2329.76;22433;0.112869079;0.1;0
annealing;3;2341.87;22541;0.112869333;0.1;0
annealing;4;2739.82;26357;0.155407099;0.1;0
annealing;5;3572.21;34373;0.607515106;0.1;0
annealing;6;3849.34;36965;1.923389018;0.1;0
annealing;7;2858.78;27329;76.02706011;0.1;0
annealing;8;4479.59;42893;79.75753119;0.1;0
annealing;9;4288.06;41141;81.06350578;0.1;0
bo;1;71.93;40;0.123734615;0.1;0
bo;2;69.49;40;0.130180492;0.1;0
bo;3;92.83;40;0.1840909;0.1;0
bo;4;190.9;40;0.290107685;0.1;0
bo;5;469.89;40;0.904665155;0.1;0
bo;6;388.85;40;2.435091996;0.1;0
bo;7;260.54;40;74.88224061;0.1;0
bo;8;320.04;40;80.72637016;0.1;0
bo;9;218.78;40;83.24327993;0.1;0
pso;1;1701.46;16418;0.112684256;0.1;0
pso;2;1096.36;10571;0.112684257;0.1;0
pso;3;1092.46;10499;0.11268426;0.1;0
pso;4;1040.99;10020;0.155242384;0.1;0
pso;5;1409.97;13557;0.608645664;0.1;0
pso;6;1111.77;10680;1.924571399;0.1;0
pso;7;21146.37;202950;76.02442056;0.1;0
pso;8;21096.04;202950;79.75007755;0.1;0
pso;9;21244.08;202950;81.04073885;0.1;0
bo.oak;1;5609.74;25;0.00118016;0.001;1
bo.oak;2;2928.64;25;0.03637534;0.001;1
bo.oak;3;3407.21;25;0.1808856;0.001;1
bo.oak;4;5975.08;25;0.198360757;0.001;1
bo.oak;5;4338.44;25;0.631261018;0.001;1
bo.oak;6;3127.86;25;2.596167896;0.001;1
bo.oak;7;4822.83;25;63.45691273;0.001;1
bo.oak;8;4260.71;25;63.45778524;0.001;1
bo.oak;9;3703.87;25;65.11822088;0.001;1
